ngram	freq
ki	61
mb	60
bl	60
zt	60
hä	59
wä	59
og	59
oh	58
bo	58
ät	57
oz	57
ib	56
co	56
5</s>	55
sl	53
b</s>	53
iv	53
x	53
ep	53
ak	52
ul	52
pi	52
pp	52
sh	51
lb	51
hw	51
nü	51
ju	50
hs	50
mp	49
äs	49
ow	49
sk	49
mt	48
6	47
äu	46
if	46
sb	46
pf	45
uk	45
7	45
za	44
up	43
lg	43
ub	43
nl	43
dl	42
ln	42
th	42
bt	41
-</s>	41
od	41
pu	40
:	39
ca	39
8	39
hö	39
sw	38
fu	38
1</s>	38
ds	38
2</s>	37
iz	37
tg	37
ms	37
nh	37
aa	36
kü	36
sr	36
s-	35
kö	35
äc	35
dt	34
ör	34
lf	33
ee	33
ea	33
lk	33
uß	32
<s>3	32
sm	32
sv	31
pt	31
üs	31
<s>ä	31
äl	31
nw	31
üc	31
ög	30
<s>:	30
n-	30
.0	30
ap	30
:</s>	29
ön	29
fä	29
ks	28
fg	28
19	28
tü	28
gn	28
6</s>	27
y</s>	27
<s>0	27
<s>–	27
–	27
–</s>	27
<s>-	27
rp	27
mö	26
sf	26
<s>4	26
sz	26
nv	26
<s>5	26
ev	26
va	26
ok	25
9</s>	25
q	25
sä	25
ex	25
uh	25
mä	24
3</s>	24
ye	24
lc	23
bü	23
aß	23
ös	23
p</s>	23
oß	23
rv	22
ua	22
ip	22
nr	22
ud	22
öf	22
ey	22
dn	21
ph	21
üg	21
eß	21
e-	21
50	21
8</s>	21
wü	21
rö	21
/	21
ay	21
ws	21
ce	20
qu	20
mü	20
sy	20
ys	20
üt	20
jä	20
äg	20
äd	19
tm	19
-m	19
ov	19
tf	19
-s	19
ou	19
eo	18
bw	18
u-	18
bn	18
cd	18
7</s>	18
nc	18
`	18
sü	17
<s>q	17
bg	17
-p	17
<s>7	17
nä	17
öl	17
ui	17
w</s>	16
<s>y	16
05	16
pä	16
lm	16
gk	16
<s>6	16
10	16
99	16
<s>/	16
lr	16
go	16
sd	16
nm	15
üd	15
fs	15
lö	15
lü	15
cl	15
tb	15
hb	15
oj	14
dü	14
tp	14
ül	14
lz	14
hk	14
iu	14
yo	13
ß</s>	13
25	13
01	13
av	13
-w	13
uv	13
/</s>	13
x</s>	13
bh	12
16	12
äß	12
xp	12
40	12
hf	12
<s>9	12
öh	12
<s>ö	12
tv	12
-f	12
bä	12
-d	12
tn	12
-a	12
h-	11
dh	11
uz	11
o-	11
jo	11
ci	11
zo	11
v</s>	11
fn	11
0.	11
d-	11
c</s>	11
tk	11
vö	11
gb	11
öß	11
hü	11
r-	11
l-	11
-r	10
12	10
ya	10
lv	10
äm	10
-j	10
-b	10
-t	10
15	10
1.	10
02	10
<s>8	10
gü	10
gä	10
oa	10
df	10
.d	10
az	10
ßi	9
hz	9
-v	9
xi	9
kz	9
zl	9
30	9
td	9
äi	9
ae	9
ßt	9
xt	9
kn	9
<s>`	9
``	9
`</s>	9
pd	9
lp	9
w.	8
hg	8
np	8
aw	8
iw	8
60	8
35	8
äf	8
ml	8
18	8
mf	8
bö	8
kf	8
gz	8
gh	8
dä	8
öt	8
cu	8
zö	8
ox	8
ww	8
oy	8
03	8
ky	8
mg	7
ps	7
r.	7
ty	7
-c	7
cs	7
70	7
sn	7
mn	7
öc	7
yt	7
ux	7
a-	7
-i	7
i-	7
oo	7
db	7
11	7
nö	7
gm	7
lw	7
kä	7
14	7
km	7
-u	6
cr	6
üf	6
nj	6
bv	6
06	6
jü	6
07	6
zü	6
23	6
:0	6
-g	6
5.	6
fz	6
wö	6
90	6
-e	6
-h	6
oi	6
,5	6
ßl	6
zä	6
ßn	6
80	6
iß	6
yn	6
bb	6
ax	5
x-	5
24	5
gy	5
m-	5
-l	5
75	5
zd	5
95	5
á	5
17	5
<s>'	5
'	5
'</s>	5
gg	5
28	5
dg	5
dm	5
fö	5
52	5
kh	5
<s>?	5
?	5
?</s>	5
hd	5
-k	5
zz	5
09	5
lh	5
kw	5
md	5
..	4
45	4
21	4
fm	4
vg	4
5,	4
27	4
cc	4
kk	4
97	4
96	4
wy	4
bm	4
g-	4
v-	4
zk	4
08	4
uw	4
ßb	4
bk	4
fc	4
ym	4
rj	4
dk	4
13	4
yl	4
b-	4
yd	4
ßu	4
26	3
hy	3
sj	3
fb	3
g.	3
.3	3
3,	3
fw	3
79	3
sö	3
55	3
ny	3
2.	3
3.	3
tc	3
yp	3
22	3
dc	3
gf	3
f-	3
ly	3
üm	3
äb	3
ii	3
bz	3
p-	3
<s>x	3
z-	3
kg	3
<s>!	3
!	3
!</s>	3
32	3
fd	3
dp	3
dw	3
98	3
31	3
w-	3
3-	3
d.	3
zb	3
py	3
yr	3
q</s>	3
zm	3
dv	3
.l	3
l.	3
öp	3
zs	3
ry	3
iy	2
yc	2
64	2
72	2
7.	2
,3	2
,7	2
,9	2
86	2
88	2
78	2
án	2
ij	2
77	2
ej	2
6.	2
t-	2
0:	2
6:	2
é	2
c-	2
-1	2
xa	2
dy	2
1:	2
9,	2
,1	2
hv	2
.8	2
kx	2
uu	2
pü	2
.7	2
hp	2
8.	2
hj	2
f.	2
i.	2
üß	2
tö	2
zv	2
bf	2
-z	2
ao	2
0,	2
oe	2
kb	2
36	2
.2	2
e.	2
-o	2
ct	2
uş	2
ş	2
ş</s>	2
yk	2
94	2
c.	2
y-	2
dz	2
3:	2
rq	2
k-	2
43	2
mk	2
41	2
8,	2
aq	2
fh	2
gd	2
/m	2
a.	2
h.	2
0-	2
p3	2
pz	2
ix	2
eq	2
bd	2
b.	2
