ngram	freq
ué	52
k</s>	51
sd	50
ér	50
ye	50
ef	50
eq	50
<s>é	49
3</s>	48
rv	48
:	47
h</s>	47
<s>á	47
uy	46
ín	46
uv	46
ís	45
g</s>	44
ró	44
99	44
fl	43
18	43
eu	43
<s>:	42
:</s>	42
ún	42
ki	42
c</s>	42
ey	41
98	40
ee	40
zó	40
ló	40
nn	40
ld	39
lb	39
í</s>	39
ai	39
oe	39
xt	39
nq	38
ál	38
01	38
ij	38
gó	38
sl	37
ío	37
rp	36
él	36
pt	36
nó	36
mú	35
ke	35
rb	35
<s>;	35
;	35
;</s>	35
x</s>	35
dí	34
mó	34
rz	34
10	34
sí	34
af	34
ck	34
ít	34
sh	33
<s>x	33
ah	33
ní	33
é</s>	33
ús	32
ka	32
ae	31
bí	31
ár	31
lv	31
96	30
lé	29
ko	29
<s>z	29
cí	29
oo	28
<s>3	28
gn	28
aí	28
wa	28
só	27
p</s>	27
ii	27
ór	27
17	27
lá	27
rk	26
té	26
tl	26
97	26
<s>4	26
v</s>	26
oz	26
xp	25
-</s>	25
íc	25
ss	25
rq	24
oy	24
we	24
<s>-	24
95	24
éc	24
ji	23
pú	23
wi	23
<s>ú	23
uj	22
<s>«	22
«	22
«</s>	22
<s>»	22
»	22
»</s>	22
óm	22
b</s>	22
úb	22
lc	21
ow	21
91	21
15	21
16	21
ak	20
tb	20
94	20
có	20
92	20
cé	20
ls	19
át	19
ól	19
ép	19
mé	19
nú	19
dm	19
tt	18
oj	18
ác	18
uo	18
úm	18
sé	18
11	18
ix	17
bs	17
ná	17
gú	17
<s>5	17
fú	17
<s>6	17
dé	17
ph	16
80	16
ht	16
rf	16
oa	16
w</s>	16
út	16
13	16
60	16
a_	16
_	16
wo	15
my	15
06	15
f</s>	15
fí	15
cá	15
gh	15
gé	15
pó	15
c.	15
jé	15
gg	15
dó	15
eó	15
áf	14
ö	14
pc	14
ré	14
<s>8	14
óg	14
iq	14
12	14
mí	14
úl	14
jó	14
ò	14
íd	13
22	13
bt	13
nk	13
oi	13
ím	13
50	13
aq	13
zc	13
14	13
ry	13
ik	13
tv	13
vu	13
a.	13
70	13
dt	13
<s>ò	13
à	12
xa	12
21	12
ts	12
km	12
cn	12
xv	12
<s>7	12
gí	12
09	12
89	12
93	12
<s>9	12
nm	12
iñ	12
07	11
dy	11
gm	11
ny	11
08	11
lf	11
ú</s>	11
-1	11
ví	11
<s>%	11
%	11
%</s>	11
áb	11
ét	11
ux	11
mn	11
ám	11
nj	11
ş	11
40	10
75	10
éx	10
04	10
vó	10
sk	10
02	10
ms	10
oh	10
uí	10
86	9
hr	9
mm	9
oq	9
2,	9
/	9
hé	9
a-	9
05	9
88	9
uf	9
85	9
aw	9
ü	9
29	9
fé	9
o-	8
ds	8
ly	8
à</s>	8
vé	8
eh	8
lp	8
yó	8
cú	8
-l	8
wl	8
xx	8
tn	8
57	8
77	8
iá	8
íf	8
ff	8
90	8
ze	8
ß	8
ße	8
25	8
28	8
ém	8
.0	8
81	8
tc	8
kl	7
bá	7
áv	7
nh	7
03	7
30	7
24	7
37	7
hí	7
ew	7
sb	7
27	7
xc	7
aa	7
52	7
bj	7
ys	7
ih	7
lr	7
zá	7
aß	7
uz	7
87	7
72	7
82	7
ox	7
zm	6
lk	6
's	6
dá	6
26	6
iy	6
ok	6
lq	6
ñó	6
sf	6
76	6
sn	6
nr	6
áu	6
59	6
zq	6
hl	6
ty	6
yu	6
,0	6
61	6
-p	6
np	6
óv	6
né	6
ír	6
sw	6
_1	6
áx	6
ku	6
íg	6
sá	6
gü	6
üe	6
78	6
wr	6
xu	6
τ	6
π	6
α	6
yi	5
pp	5
tg	5
tp	5
tx	5
fá	5
55	5
42	5
,5	5
47	5
—	5
<s>’	5
’	5
’</s>	5
bó	5
23	5
ky	5
64	5
67	5
íp	5
ps	5
hw	5
ód	5
vá	5
р	5
и	5
bé	5
gt	5
gs	5
uq	5
nb	5
rú	5
ós	5
2.	5
m²	5
²	5
²</s>	5
1.	5
69	5
'r	5
35	5
cy	5
sō	5
ō	5
56	5
ek	5
ót	5
zu	5
vr	5
ο	5
μ	5
ν	5
òş	5
şu	5
ì	5
ù	5
kr	4
xe	4
wh	4
uk	4
uñ	4
tú	4
úa	4
là	4
,3	4
uh	4
74	4
51	4
dă	4
ă	4
<s>—	4
s-	4
34	4
yr	4
sú	4
ñe	4
73	4
79	4
sg	4
yl	4
dú	4
fó	4
66	4
68	4
º	4
º</s>	4
dl	4
н	4
е	4
о	4
sy	4
ks	4
mt	4
46	4
öl	4
yb	4
rw	4
54	4
sq	4
vl	4
ao	4
aó	4
83	4
hs	4
nö	4
öd	4
pí	4
úp	4
fc	4
84	4
zn	4
pá	4
bc	4
ς	4
ς</s>	4
pé	4
<s>ἀ	4
ἀ	4
ι	4
ί	4
α</s>	4
by	4
44	4
71	4
<s>&	4
&	4
&</s>	4
λ	4
cw	4
òr	4
rì	4
ìş	4
şà	4
cs	3
-b	3
py	3
d'	3
31	3
bä	3
ä	3
är	3
tz	3
39	3
ă</s>	3
íb	3
óc	3
7-	3
áh	3
a'	3
úo	3
uó	3
63	3
éi	3
в	3
-j	3
3,	3
ön	3
dg	3
uá	3
0-	3
gw	3
m.	3
_2	3
<s>=	3
=	3
=</s>	3
4,	3
.5	3
58	3
lú	3
°	3
e-	3
–	3
zg	3
qa	3
sr	3
-c	3
y-	3
5.	3
0.	3
49	3
48	3
yk	3
há	3
ax	3
xo	3
2-	3
hn	3
eú	3
yn	3
hm	3
l-	3
dv	3
n.	3
ç	3
kn	3
c1	3
,8	3
..	3
yt	3
ω	3
ōm	3
úc	3
óp	3
ág	3
bb	3
<s>“	3
“	3
“</s>	3
<s>”	3
”	3
”</s>	3
πο	3
1:	3
yá	3
τι	3
ιμ	3
ία	3
.8	3
ñá	3
pn	3
rx	3
r'	3
'k	3
sv	2
kk	2
0,	2
zi	2
4x	2
x1	2
zk	2
,4	2
—</s>	2
kw	2
pm	2
<s>‘	2
‘	2
‘</s>	2
ñí	2
ym	2
4-	2
-7	2
-2	2
3-	2
'n	2
-t	2
32	2
dj	2
b.	2
36	2
s.	2
nº	2
íq	2
jr	2
а	2
ан	2
к	2
já	2
kö	2
65	2
lz	2
ád	2
<s>/	2
/</s>	2
ë	2
,1	2
45	2
9,	2
,7	2
7,	2
5,	2
,9	2
6,	2
5°	2
°2	2
′	2
′0	2
0″	2
″	2
íe	2
33	2
<s>*	2
*	2
*</s>	2
<s>†	2
†	2
†</s>	2
ō</s>	2
-s	2
r-	2
<s>þ	2
þ	2
hö	2
nw	2
—e	2
8.	2
<s>ö	2
öh	2
eí	2
-g	2
rü	2
üb	2
nç	2
ço	2
n/	2
<s>–	2
–</s>	2
ég	2
áp	2
xb	2
àk	2
/2	2
0º	2
-o	2
fs	2
óx	2
53	2
.1	2
<s>τ	2
ρ	2
ό	2
ος	2
:0	2
41	2
bk	2
mk	2
1,	2
hy	2
aú	2
kb	2
<s>0	2
gá	2
dh	2
3/	2
/1	2
-0	2
i-	2
úz	2
íl	2
62	2
pf	2
p.	2
kí	2
ор	2
г	2
ἀπ	2
ολ	2
λλ	2
λω	2
ων	2
νί	2
<s>ἐ	2
ἐ	2
ἐπ	2
δ	2
μν	2
ww	2
wc	2
dù	2
ù</s>	2
şé	2
ò</s>	2
<s>ş	2
